collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
peonies-dress,667533115725,Peonies DRESS,sorelia-dress,10833926947149,Sorelia Dress,0.78,New,no,217,35
peonies-dress,667533115725,Peonies DRESS,zafira-dress,10833902534989,Zafira Dress,0.78,New,no,705,36
peonies-dress,667533115725,Peonies DRESS,annelise-dress,10863625961805,Annelise Dress,0.73,New,no,607,37
peonies-dress,667533115725,Peonies DRESS,zafrina-dress,10834733793613,Zafrina Dress,0.72,New,no,686,38
peonies-dress,667533115725,Peonies DRESS,aviana-limited,10833951162701,Aviana LIMITED,0.69,New,no,616,39
peonies-dress,667533115725,Peonies DRESS,cressida-dress,10833916559693,Cressida Dress,0.68,New,no,616,40
peonies-dress,667533115725,Peonies DRESS,leandra-limited,10833979244877,Leandra LIMITED,0.65,New,no,583,41
peonies-dress,667533115725,Peonies DRESS,samara-dress,10834074337613,Samara Dress,0.65,New,no,650,42
peonies-dress,667533115725,Peonies DRESS,mirea-dress,10833985175885,Mirea Dress,0.64,New,no,179,43
peonies-dress,667533115725,Peonies DRESS,freya-dress,10834090557773,Freya Dress,0.64,New,no,526,44
peonies-dress,667533115725,Peonies DRESS,evadne-dress,10847616008525,Evadne Dress,0.62,New,no,576,45
peonies-dress,667533115725,Peonies DRESS,novalie-dress,10833931174221,Novalie Dress,0.62,New,no,206,46
peonies-dress,667533115725,Peonies DRESS,jolie-dress-1,10834092753229,Jolie Dress,0.62,New,no,537,47
peonies-dress,667533115725,Peonies DRESS,lavinia-dress-1,10833890148685,Lavinia Dress,0.62,New,no,539,48
peonies-dress,667533115725,Peonies DRESS,aviana-dress,10833949294925,Aviana Dress,0.62,New,no,450,49
peonies-dress,667533115725,Peonies DRESS,azelie-dress,10833853940045,Azélie Dress,0.61,New,no,426,50
peonies-dress,667533115725,Peonies DRESS,inessa-dress,10833969807693,Inessa Dress,0.60,New,no,382,51
peonies-dress,667533115725,Peonies DRESS,odelia-dress-1,10833920721229,Odelia Dress,0.60,New,no,394,52
peonies-dress,667533115725,Peonies DRESS,talia-dress-1,10834083283277,Talia Dress,0.60,New,no,261,53
peonies-dress,667533115725,Peonies DRESS,mirea-limited,10833998643533,Mirea LIMITED,0.60,New,no,443,54
peonies-dress,667533115725,Peonies DRESS,vianne-dress,10833912070477,Vianne Dress,0.58,New,no,355,55
peonies-dress,667533115725,Peonies DRESS,orietta-dress,10833897455949,Orietta Dress,0.58,New,no,277,56
peonies-dress,667533115725,Peonies DRESS,faline-dress-copy,10847566528845,Rosalie Dress,0.58,New,no,362,57
peonies-dress,667533115725,Peonies DRESS,malina-dress,10834710036813,Malina Dress,0.58,New,no,353,58
peonies-dress,667533115725,Peonies DRESS,copy-copy-79,10833934483789,Novalie LIMITED,0.58,New,no,293,59
peonies-dress,667533115725,Peonies DRESS,tessa-dress,10834101633357,Tessa Dress,0.57,New,no,370,60
peonies-dress,667533115725,Peonies DRESS,sorelia-limited,10833928782157,Sorelia LIMITED,0.57,New,no,319,61
peonies-dress,667533115725,Peonies DRESS,eloise-dress-1,10850840478029,Eloise Dress,0.57,New,no,281,62
peonies-dress,667533115725,Peonies DRESS,leandra-dress-1,10833971741005,Leandra Dress,0.57,New,no,339,63
peonies-dress,667533115725,Peonies DRESS,tessa-limited,10834115395917,Tessa LIMITED,0.57,New,no,307,64
peonies-dress,667533115725,Peonies DRESS,kalina-dress,10834708365645,Kalina Dress,1.70,New,yes,1878,65
peonies-dress,667533115725,Peonies DRESS,kiara-dress,10834094031181,Kiara Dress,0.59,New,yes,309,66
peonies-dress,667533115725,Peonies DRESS,kiara-limited,10834095440205,Kiara LIMITED,0.57,New,yes,365,67
peonies-jumpsuits,667533574477,Peonies JUMPSUITS,tamara-jumsuit,10834724651341,Tamara Jumsuit,1.52,New,no,1146,1
peonies-jumpsuits,667533574477,Peonies JUMPSUITS,bianca-jumsuit,10834721472845,Bianca Jumsuit,1.40,New,no,955,2
peonies-jumpsuits,667533574477,Peonies JUMPSUITS,leontine-jumsuit,10834723045709,Leontine Jumsuit,1.00,New,no,698,3
peonies-jumpsuits,667533574477,Peonies JUMPSUITS,rafaela-jumsuit,10834723832141,Rafaela Jumsuit,0.83,New,no,524,4
peonies-jumpsuits,667533574477,Peonies JUMPSUITS,katia-jumsuit,10834722324813,Katia Jumsuit,0.69,New,no,347,5
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,alessia-kimono,10833837261133,Alessia Kimono,1.72,New,no,694,1
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,ameline-kimono,10833834901837,Ameline  Kimono,1.44,New,no,802,2
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,leonie-kimono,10833830773069,Leonie Kimono,1.11,New,no,744,3
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,valeria-kimono,10833826283853,Valeria Kimono,0.88,New,no,533,4
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,sabine-kimono,10833829331277,Sabine Kimono,0.87,New,no,531,5
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,sereia-kimono,10833841258829,Sereia Kimono,0.80,New,no,461,6
peonies-kimono-dress,667533181261,Peonies KIMONO DRESSES,oriella-kimono,10833820385613,Oriella Kimono,0.77,New,no,397,7
peonies-pants,667533541709,Peonies PANTS,evania-pants,10831763931469,Evania Pants,1.91,New,no,231,1
peonies-pants,667533541709,Peonies PANTS,violetta-pants,10831729623373,Violetta Pants,1.51,New,no,157,2
peonies-pants,667533541709,Peonies PANTS,seraphina-pants,10831770747213,Seraphina Pants,1.17,New,no,36,3
peonies-pants,667533541709,Peonies PANTS,maristella-cape,10831722840397,Oriane Pants,1.13,New,no,107,4
peonies-pants,667533541709,Peonies PANTS,jessamine-pants,10831736045901,Jessamine Pants,1.12,New,no,50,5
peonies-skirts,667533476173,Peonies SKIRTS,ameline-skirt,10833816387917,Ameline  Skirt,2.01,New,no,520,1
peonies-skirts,667533476173,Peonies SKIRTS,calista-skirt,10831800795469,Calista Skirt,1.95,New,no,831,2
peonies-skirts,667533476173,Peonies SKIRTS,elara-skirt,10833813078349,Elara  Skirt,1.64,New,no,697,3
peonies-skirts,667533476173,Peonies SKIRTS,cassia-skirt,10833817010509,Cassia  Skirt,1.58,New,no,292,4
peonies-skirts,667533476173,Peonies SKIRTS,althea-skirt,10833805377869,Althea  Skirt,1.00,New,no,362,5
peonies-skirts,667533476173,Peonies SKIRTS,eulalia-skirt,10833806360909,Eulalia Skirt,0.95,New,no,298,6
peonies-skirts,667533476173,Peonies SKIRTS,maelle-skirt,10831789752653,Maelle Skirt,0.92,New,no,230,7
peonies-skirts,667533476173,Peonies SKIRTS,vespera-skirt,10833797644621,Vespera  Skirt,0.92,New,no,79,8
peonies-skirts,667533476173,Peonies SKIRTS,elowen-skirt-1,10833793253709,Elowen  Skirt,0.88,New,no,99,9
peonies-skirts,667533476173,Peonies SKIRTS,aveline-skirt,10831781691725,Aveline Skirt,0.84,New,no,171,10
peonies-skirts,667533476173,Peonies SKIRTS,lysandra-skirt,10833814716749,Lysandra Skirt,0.80,New,no,186,11
peonies-tops,667533246797,Peonies TOPS,melisande-top-1,10831622013261,Melisande Top,3.03,New,no,1396,1
peonies-tops,667533246797,Peonies TOPS,belisse-cape,10831625519437,Belisse  Cape,2.89,New,no,1029,2
peonies-tops,667533246797,Peonies TOPS,ameline-top-1,10831704588621,Ameline Top,2.70,New,no,842,3
peonies-tops,667533246797,Peonies TOPS,eira-cape-1,10831635022157,Eira  Cape,1.89,New,no,563,4
peonies-tops,667533246797,Peonies TOPS,ameline-top,10831700951373,Ameline Top,1.72,New,no,404,5
peonies-tops,667533246797,Peonies TOPS,aviana-cape,10831648227661,Aviana  Cape,1.61,New,no,712,6
peonies-tops,667533246797,Peonies TOPS,amaris-top,10831673491789,Amaris Top,1.47,New,no,290,7
peonies-tops,667533246797,Peonies TOPS,daria-cape,10831632204109,Daria  Cape,1.10,New,no,384,8
peonies-tops,667533246797,Peonies TOPS,elowen-top-1,10831615459661,Vespera Top,0.98,New,no,65,9
peonies-tops,667533246797,Peonies TOPS,mya-top,10831714812237,Mya Shirt,0.96,New,no,69,10
peonies-tops,667533246797,Peonies TOPS,maristella-cape-1,10834734645581,Maristella Cape,0.90,New,no,283,11
peonies-tops,667533246797,Peonies TOPS,maelle-top,10831601533261,Maelle Top,0.88,New,no,119,12
peonies-tops,667533246797,Peonies TOPS,aveline-top-1,10831558803789,Aveline Top,0.87,New,no,111,13
peonies-tops,667533246797,Peonies TOPS,cassia-top,10831707406669,Cassia Top,0.87,New,no,114,14
peonies-tops,667533246797,Peonies TOPS,calista-top,10831609299277,Calista Top,0.87,New,no,207,15
peonies-tops,667533246797,Peonies TOPS,elara-top,10831695315277,Elara Top,0.86,New,no,222,16
peonies-tops,667533246797,Peonies TOPS,evania-top,10831701770573,Evania Top,0.86,New,no,131,17
peonies-tops,667533246797,Peonies TOPS,elowen-top,10831611429197,Elowen Top,0.85,New,no,255,18
peonies-tops,667533246797,Peonies TOPS,oriane-top,10831663268173,Oriane Top,0.84,New,no,126,19
peonies-tops,667533246797,Peonies TOPS,melisande-top,10831618048333,Althea Top,0.83,New,no,138,20
peonies-tops,667533246797,Peonies TOPS,zinnia-cape,10834735432013,Zinnia Cape,0.83,New,no,192,21
peonies-tops,667533246797,Peonies TOPS,zelie-cape-1,10831669330253,Zelie Cape,0.82,New,no,225,22
peonies-tops,667533246797,Peonies TOPS,leonora-cape,10831717695821,Leonora Cape,0.79,New,no,190,23
ss26-sirens,664695505229,SS26 SIRENS,elodie-dress,10566138757453,Elodie Φόρεμα,11.07,Hero,no,38367,1
ss26-sirens,664695505229,SS26 SIRENS,marbella-dress,10814110531917,Marbella Dress,5.14,Hero,no,6719,2
ss26-sirens,664695505229,SS26 SIRENS,crystalia,10652663251277,Crystalia Φόρεμα,4.79,Hero,no,19946,3
ss26-sirens,664695505229,SS26 SIRENS,victoria,10697115926861,Victoria Φόρεμα,3.91,Hero,no,17323,4
ss26-sirens,664695505229,SS26 SIRENS,sylvia,10714453999949,Sylvia Κιμονό,3.78,Hero,no,12882,5
ss26-sirens,664695505229,SS26 SIRENS,sophia,10642032361805,Sophia Φόρεμα,2.81,Strong,no,12047,6
ss26-sirens,664695505229,SS26 SIRENS,stella-top-1,10718845763917,Domna Φούστα,2.76,Strong,no,9974,7
ss26-sirens,664695505229,SS26 SIRENS,greta-dress,10566155960653,Greta Φόρεμα,2.71,Strong,no,9251,8
ss26-sirens,664695505229,SS26 SIRENS,nerida,10710349381965,Nerida Φόρεμα,2.70,Strong,no,8969,9
ss26-sirens,664695505229,SS26 SIRENS,noelle,10786243215693,Noelle Φόρεμα,2.30,Strong,no,5265,10
ss26-sirens,664695505229,SS26 SIRENS,doris,10730899734861,Doris Φούστα,2.22,Strong,no,6377,11
ss26-sirens,664695505229,SS26 SIRENS,coco-skirt,10730655580493,Coco Φούστα,2.15,Strong,no,5868,12
ss26-sirens,664695505229,SS26 SIRENS,rosalie-2,10786210480461,Rosalie Φόρεμα,2.04,Strong,no,4660,13
ss26-sirens,664695505229,SS26 SIRENS,maeva-dress,10566112903501,Maeva Φόρεμα,1.71,Strong,no,3089,14
ss26-sirens,664695505229,SS26 SIRENS,leandra-dress,10814122819917,Leandra Dress,1.63,Strong,no,2198,15
ss26-sirens,664695505229,SS26 SIRENS,ioli,10728698184013,Ioli Φόρεμα,1.50,Strong,no,6327,16
ss26-sirens,664695505229,SS26 SIRENS,zoe-pants,10564703289677,Zoe Παντελόνα,1.48,Average,no,5365,17
ss26-sirens,664695505229,SS26 SIRENS,kirki-kimono,10730877223245,Kirki Κιμονό,1.48,Average,no,5513,18
ss26-sirens,664695505229,SS26 SIRENS,melin-skirt,10804947190093,Melin Skirt,1.46,Average,no,1780,19
ss26-sirens,664695505229,SS26 SIRENS,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.43,Average,no,3229,20
ss26-sirens,664695505229,SS26 SIRENS,melin-top,10804955087181,Melin Top,1.41,Average,no,1649,21
ss26-sirens,664695505229,SS26 SIRENS,nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,1.38,Average,no,4575,22
ss26-sirens,664695505229,SS26 SIRENS,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.30,Average,no,5395,23
ss26-sirens,664695505229,SS26 SIRENS,auralis-kimono,10563066659149,Auralis Κιμονό,1.27,Average,no,4655,24
ss26-sirens,664695505229,SS26 SIRENS,runa-top,10566035374413,Runa Τοπ,1.25,Average,no,5147,25
ss26-sirens,664695505229,SS26 SIRENS,magnolia-top,10731569217869,Magnolia Τοπ,1.21,Average,no,4031,26
ss26-sirens,664695505229,SS26 SIRENS,ione-2,10710363537741,Ione Φόρεμα,1.17,Average,no,5338,27
ss26-sirens,664695505229,SS26 SIRENS,magnolia-skirt,10566041698637,Magnolia Φούστα,1.16,Average,no,4244,28
ss26-sirens,664695505229,SS26 SIRENS,calypso-skirt-blue,10559198298445,Calypso Skirt Blue,1.12,Average,no,3838,29
ss26-sirens,664695505229,SS26 SIRENS,nerina-dress,10814128783693,Nerina Dress,1.09,Average,no,1149,30
ss26-sirens,664695505229,SS26 SIRENS,aura,10633856221517,Aura Φόρεμα,1.06,Average,no,4354,31
ss26-sirens,664695505229,SS26 SIRENS,camelia,10663947960653,Camelia Φόρεμα,1.06,Average,no,3911,32
ss26-sirens,664695505229,SS26 SIRENS,doris-1,10730911793485,Doris Τοπ,1.04,Average,no,3100,33
ss26-sirens,664695505229,SS26 SIRENS,marceline,10786231877965,Marceline Φόρεμα,1.02,Average,no,2561,34
ss26-sirens,664695505229,SS26 SIRENS,calypso-top-pink,10559183356237,Calypso Τοπ ροζ,1.00,Average,no,2979,35
ss26-sirens,664695505229,SS26 SIRENS,ione-1,10657683439949,Ione Φούστα,0.98,Average,no,4072,36
ss26-sirens,664695505229,SS26 SIRENS,nefeli,10728541159757,Nefeli Φόρεμα,0.98,Average,no,3741,37
ss26-sirens,664695505229,SS26 SIRENS,kirki,10730842784077,Kirki Τοπ,0.98,Average,no,2669,38
ss26-sirens,664695505229,SS26 SIRENS,nora,10758769738061,Nora Τοπ,0.90,Average,no,2002,39
ss26-sirens,664695505229,SS26 SIRENS,solea,10740788068685,Solea Φούστα,0.76,Average,no,1956,40
ss26-sirens,664695505229,SS26 SIRENS,meria-dress,10563092447565,Meria Φόρεμα,0.73,Average,no,3030,41
ss26-sirens,664695505229,SS26 SIRENS,margie-dress,10566101827917,Margie Φόρεμα,0.72,Average,no,2780,42
ss26-sirens,664695505229,SS26 SIRENS,stella-kimono,10564824432973,Stella Κιμονό,0.69,Average,no,2495,43
ss26-sirens,664695505229,SS26 SIRENS,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.68,Average,no,2843,44
ss26-sirens,664695505229,SS26 SIRENS,liberty-dress,10566102974797,Liberty Φόρεμα,0.66,Average,no,2042,45
ss26-sirens,664695505229,SS26 SIRENS,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.66,Average,no,2809,46
ss26-sirens,664695505229,SS26 SIRENS,livia-dress,10563406201165,Livia Φόρεμα,0.64,Average,no,2632,47
ss26-sirens,664695505229,SS26 SIRENS,zale-dress,10563130229069,Zale Φόρεμα,0.62,Average,no,2833,48
ss26-sirens,664695505229,SS26 SIRENS,isabella,10710401483085,Isabella Φούστα,0.61,Average,no,2235,49
ss26-sirens,664695505229,SS26 SIRENS,viora,10636342690125,Viora Φόρεμα,0.58,Average,no,2091,50
ss26-sirens,664695505229,SS26 SIRENS,solea-1,10740803436877,Solea Τοπ,0.57,Average,no,1372,51
ss26-sirens,664695505229,SS26 SIRENS,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.56,Average,no,2200,52
ss26-sirens,664695505229,SS26 SIRENS,elyra-pants,10563246784845,Elyra Παντελόνα,0.56,Average,no,2146,53
ss26-sirens,664695505229,SS26 SIRENS,sienna-copy,10697387508045,Patricia Τοπ,0.55,Average,no,2028,54
ss26-sirens,664695505229,SS26 SIRENS,aria-skirt-1,10563312714061,Aria Skirt,0.54,Average,no,2041,55
ss26-sirens,664695505229,SS26 SIRENS,shona-pants,10564789961037,Shona Παντελόνα,0.54,Average,no,2403,56
ss26-sirens,664695505229,SS26 SIRENS,ismini-1,10745646252365,Ismini Φούστα,0.53,Average,no,1349,57
ss26-sirens,664695505229,SS26 SIRENS,rinna,10657650803021,Rinna Φόρεμα,0.52,Average,no,1970,58
ss26-sirens,664695505229,SS26 SIRENS,elyra-top,10563231154509,Elyra Τοπ,0.50,Average,no,1849,59
ss26-sirens,664695505229,SS26 SIRENS,lyla-skirt,10563307635021,Lyla Skirt,0.49,Low,no,1538,60
ss26-sirens,664695505229,SS26 SIRENS,hilda-dress-champagne,10564841374029,Hilda Φόρεμα σαμπανιζέ,0.48,Low,no,1744,61
ss26-sirens,664695505229,SS26 SIRENS,moss-dress-1,10563105227085,Moss Φόρεμα,0.47,Low,no,1769,62
ss26-sirens,664695505229,SS26 SIRENS,hilda-dress-dusty-pink,10566100255053,Hilda Dusty Φόρεμα ροζ,0.45,Low,no,1785,63
ss26-sirens,664695505229,SS26 SIRENS,debbie-pants,10564787011917,Debbie Παντελόνα,0.43,Low,no,1455,64
ss26-sirens,664695505229,SS26 SIRENS,lyla-top,10563222045005,Lyla Τοπ,0.43,Low,no,1281,65
ss26-sirens,664695505229,SS26 SIRENS,indira-skirt,10563304816973,Indira Skirt,0.41,Low,no,1345,66
ss26-sirens,664695505229,SS26 SIRENS,irida-top,10730927784269,Irida Τοπ,0.41,Low,no,609,67
ss26-sirens,664695505229,SS26 SIRENS,isabellatop,10710406005069,Isabella Τοπ,0.40,Low,no,1220,68
ss26-sirens,664695505229,SS26 SIRENS,ione,10657672266061,Ione Τοπ,0.38,Low,no,940,69
ss26-sirens,664695505229,SS26 SIRENS,aria-top-1,10563232760141,Aria Τοπ,0.34,Low,no,1141,70
ss26-sirens,664695505229,SS26 SIRENS,elyra-body,10563024912717,Elyra Κορμάκι,0.32,Low,no,1066,71
ss26-sirens,664695505229,SS26 SIRENS,zaria-top,10563046768973,Zaria Τοπ,0.29,Low,no,845,72
ss26-sirens,664695505229,SS26 SIRENS,livia-skirt,10563055878477,Livia Skirt,0.28,Low,no,1034,73
ss26-sirens,664695505229,SS26 SIRENS,shona-shirt,10564578804045,Shona Πουκάμισο,0.27,Low,no,1224,74
ss26-sirens,664695505229,SS26 SIRENS,meline-copy,10644362002765,Lavelle  Φόρεμα,0.24,Low,no,890,75
ss26-sirens,664695505229,SS26 SIRENS,glinda-skirt,10566351814989,Glinda Skirt,0.24,Low,no,793,76
ss26-sirens,664695505229,SS26 SIRENS,mae-top,10564537778509,Mae Τοπ,0.18,Low,no,433,77
ss26-sirens,664695505229,SS26 SIRENS,livia-top,10563040510285,Livia Τοπ,0.18,Low,no,594,78
ss26-sirens,664695505229,SS26 SIRENS,stella-top,10563234267469,Stella Τοπ,0.18,Low,no,652,79
ss26-sirens,664695505229,SS26 SIRENS,shona-skirt,10564766138701,Shona Skirt,0.14,Low,no,668,80
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-69,10633886466381,Linea Φόρεμα,0.12,Low,no,524,81
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-71,10633887056205,Aluna Φόρεμα,0.09,Low,no,200,82
ss26-sirens,664695505229,SS26 SIRENS,thalea,10633917563213,Thalea Φόρεμα,0.08,Low,no,185,83
ss26-sirens,664695505229,SS26 SIRENS,ismera,10633929261389,Ismera Φόρεμα,0.08,Low,no,409,84
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-77,10633966977357,Isenor Φόρεμα,0.04,Low,no,83,85
ss26-sirens,664695505229,SS26 SIRENS,stella,10718851137869,Domna Τοπ,4.76,Hero,yes,21290,86
ss26-sirens,664695505229,SS26 SIRENS,hilary-dress,10566159991117,Hilary Φόρεμα,3.91,Hero,yes,14803,87
ss26-sirens,664695505229,SS26 SIRENS,dioni,10730727440717,Dioni Φόρεμα,3.63,Hero,yes,10720,88
ss26-sirens,664695505229,SS26 SIRENS,evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,3.44,Hero,yes,11724,89
ss26-sirens,664695505229,SS26 SIRENS,ariel-siren-dress-blue,10559049138509,Ariel Siren Φόρεμα γαλάζιο,3.16,Hero,yes,12733,90
ss26-sirens,664695505229,SS26 SIRENS,marisa,10671661482317,Marisa Φόρεμα,2.91,Strong,yes,10471,91
ss26-sirens,664695505229,SS26 SIRENS,velora,10634112041293,Velora Φόρεμα,2.86,Strong,yes,8155,92
ss26-sirens,664695505229,SS26 SIRENS,dalia-dress,10728598831437,Dalia Φόρεμα,2.69,Strong,yes,11225,93
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-75,10633925165389,Delya Φόρεμα,2.46,Strong,yes,10252,94
ss26-sirens,664695505229,SS26 SIRENS,helia-dress,10563090907469,Helia Φόρεμα,2.42,Strong,yes,9780,95
ss26-sirens,664695505229,SS26 SIRENS,scorpios-limited,10731628429645,Scorpios LIMITED,2.39,Strong,yes,7897,96
ss26-sirens,664695505229,SS26 SIRENS,coco,10730619339085,Coco Τοπ,2.28,Strong,yes,6010,97
ss26-sirens,664695505229,SS26 SIRENS,soraya,10643352158541,Soraya Φόρεμα,2.28,Strong,yes,7652,98
ss26-sirens,664695505229,SS26 SIRENS,empress-top,10073195905357,Empress Top,2.20,Strong,yes,6484,99
ss26-sirens,664695505229,SS26 SIRENS,lumira,10633956557133,Lumira Φόρεμα,2.11,Strong,yes,9159,100
ss26-sirens,664695505229,SS26 SIRENS,perla,10730988405069,Perla Φόρεμα,1.93,Strong,yes,5688,101
ss26-sirens,664695505229,SS26 SIRENS,elise,10664056750413,Elise Φόρεμα,1.87,Strong,yes,7589,102
ss26-sirens,664695505229,SS26 SIRENS,phoebe-dress,10564863885645,Phoebe Φόρεμα,1.86,Strong,yes,7952,103
ss26-sirens,664695505229,SS26 SIRENS,asteria-dress,10563094708557,Asteria Φόρεμα,1.83,Strong,yes,6985,104
ss26-sirens,664695505229,SS26 SIRENS,lydia,10714458063181,Lydia Κιμονό,1.80,Strong,yes,8163,105
ss26-sirens,664695505229,SS26 SIRENS,solenne,10644069187917,Solenne Φόρεμα,1.69,Strong,yes,7771,106
ss26-sirens,664695505229,SS26 SIRENS,empress-skirt,10074122977613,Empress Skirt,1.67,Strong,yes,5499,107
ss26-sirens,664695505229,SS26 SIRENS,thalina-dress-1,10559114215757,Thalina Φόρεμα,1.65,Strong,yes,4040,108
ss26-sirens,664695505229,SS26 SIRENS,electra-dress,10584479564109,Electra Φόρεμα,1.60,Strong,yes,6501,109
ss26-sirens,664695505229,SS26 SIRENS,astor-kimono,10566045172045,Astor Kimono,1.60,Strong,yes,6537,110
ss26-sirens,664695505229,SS26 SIRENS,capri-1,10731572789581,Capri Τοπ,1.57,Strong,yes,5528,111
ss26-sirens,664695505229,SS26 SIRENS,rayne-dress,10564896391501,Rayne Φόρεμα,1.51,Strong,yes,6940,112
ss26-sirens,664695505229,SS26 SIRENS,calyra-dress,10563075998029,Calyra Φόρεμα,1.50,Strong,yes,5681,113
ss26-sirens,664695505229,SS26 SIRENS,orlaya-1,10641885364557,Orlaya Φούστα,1.41,Average,yes,5181,114
ss26-sirens,664695505229,SS26 SIRENS,thalassa-limited,10657844953421,Thalassa LIMITED Φόρεμα,1.38,Average,yes,5539,115
ss26-sirens,664695505229,SS26 SIRENS,lea-dress,10566090916173,Lea Φόρεμα,1.37,Average,yes,4199,116
ss26-sirens,664695505229,SS26 SIRENS,melina,10714445873485,Melina Κιμονό,1.37,Average,yes,5012,117
ss26-sirens,664695505229,SS26 SIRENS,norah-kimono,10566086492493,Norah Κιμονό,1.33,Average,yes,5492,118
ss26-sirens,664695505229,SS26 SIRENS,coralia-dress,10566166413645,Coralia Φόρεμα,1.32,Average,yes,5274,119
ss26-sirens,664695505229,SS26 SIRENS,copy-2,10588786295117,Linus Φόρεμα,1.26,Average,yes,6068,120
ss26-sirens,664695505229,SS26 SIRENS,glowen-dress,10564884070733,Glowen Φόρεμα,1.23,Average,yes,4810,121
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-78,10633971007821,Thalior Φόρεμα,1.22,Average,yes,5291,122
ss26-sirens,664695505229,SS26 SIRENS,calypso-skirt-pink,10559200788813,Calypso Skirt Pink,1.21,Average,yes,4291,123
ss26-sirens,664695505229,SS26 SIRENS,melin-dress,10566165102925,Melin Φόρεμα,1.15,Average,yes,4266,124
ss26-sirens,664695505229,SS26 SIRENS,thalassa-dress,10563128525133,Thalassa Φόρεμα,1.10,Average,yes,3268,125
ss26-sirens,664695505229,SS26 SIRENS,capri,10731571183949,Capri Φούστα,1.09,Average,yes,3479,126
ss26-sirens,664695505229,SS26 SIRENS,lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,1.09,Average,yes,4533,127
ss26-sirens,664695505229,SS26 SIRENS,argenta-cape,10563227615565,Argenta Κάπα,1.08,Average,yes,4111,128
ss26-sirens,664695505229,SS26 SIRENS,nerissa-kimono-blue,10559203049805,Nerissa Κιμονό μπλε,1.07,Average,yes,3085,129
ss26-sirens,664695505229,SS26 SIRENS,ariel-siren-limited,10571427971405,Ariel Siren LIMITED Φόρεμα,1.06,Average,yes,3470,130
ss26-sirens,664695505229,SS26 SIRENS,kirki-skirt,10730866344269,Kirki Φούστα,1.04,Average,yes,3698,131
ss26-sirens,664695505229,SS26 SIRENS,argenta-kimono,10563359539533,Argenta Κιμονό,1.02,Average,yes,3102,132
ss26-sirens,664695505229,SS26 SIRENS,aria-kimono,10564825186637,Aria Κιμονό,1.02,Average,yes,4029,133
ss26-sirens,664695505229,SS26 SIRENS,nai-dress,10563110994253,Nai Φόρεμα,1.01,Average,yes,4669,134
ss26-sirens,664695505229,SS26 SIRENS,nola-jumpsuit,10566211600717,Nola Ολόσωμη φόρμα,1.00,Average,yes,4818,135
ss26-sirens,664695505229,SS26 SIRENS,elyra-dress,10563404235085,Elyra Φόρεμα,1.00,Average,yes,3912,136
ss26-sirens,664695505229,SS26 SIRENS,argenta-jumpsuit,10563172696397,Argenta Ολόσωμη φόρμα,0.99,Average,yes,3840,137
ss26-sirens,664695505229,SS26 SIRENS,fiorella-white,10810757415245,Fiorella White Dress,0.99,Average,yes,1258,138
ss26-sirens,664695505229,SS26 SIRENS,serina,10633912582477,Serina Φόρεμα,0.99,Average,yes,4608,139
ss26-sirens,664695505229,SS26 SIRENS,aegea-dress,10563131900237,Aegea Φόρεμα,0.97,Average,yes,4231,140
ss26-sirens,664695505229,SS26 SIRENS,neta-top,10566385434957,Neta Τοπ,0.94,Average,yes,3741,141
ss26-sirens,664695505229,SS26 SIRENS,eris-dress,10566174114125,Eris Φόρεμα,0.94,Average,yes,3586,142
ss26-sirens,664695505229,SS26 SIRENS,s26-5048,10559098978637,Ariel Siren Φόρεμα ροζ,0.91,Average,yes,3979,143
ss26-sirens,664695505229,SS26 SIRENS,aster-kimono,10559208358221,Aster Κιμονό,0.89,Average,yes,3754,144
ss26-sirens,664695505229,SS26 SIRENS,copy-copy-73,10633890300237,Velina Φόρεμα,0.88,Average,yes,3514,145
ss26-sirens,664695505229,SS26 SIRENS,thalia-dress,10563095920973,Thalia Φόρεμα,0.88,Average,yes,3106,146
ss26-sirens,664695505229,SS26 SIRENS,cloe-dress,10566161531213,Cloe Φόρεμα,0.86,Average,yes,3186,147
ss26-sirens,664695505229,SS26 SIRENS,elyra-cape,10563208315213,Elyra Κάπα,0.84,Average,yes,3260,148
ss26-sirens,664695505229,SS26 SIRENS,irida-kimono,10730818896205,Irida Κιμονό,0.83,Average,yes,3815,149
