handle,product_id,title,main_collection,main_collection_title,popularity_ratio,merch_tier,popularity_trend,age_status,rank_in_main_collection,sold_out,views_90d,add_to_cart,purchased,popularity_updated,url
amaris-top,10831673491789,Amaris Top,peonies-tops,Peonies · Tops,1.47,New,New,New,7,no,290,16,1,2026-09-23,https://myacollection.com/products/amaris-top
ameline-kimono,10833834901837,Ameline  Kimono,peonies-kimono-dress,Peonies · Kimono dresses,1.44,New,New,New,2,no,802,18,1,2026-09-23,https://myacollection.com/products/ameline-kimono
calypso-skirt-pink,10559200788813,Calypso Skirt Pink,ss26-sirens-skirts,Sirens · Skirts,1.43,Average,Fading,Established,7,yes,4291,202,11,2026-09-23,https://myacollection.com/products/calypso-skirt-pink
helia-dress,10563090907469,Helia Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.43,Average,Fading,Established,11,yes,9780,16,0,2026-09-23,https://myacollection.com/products/helia-dress
jessamine-blazer,10833843290445,Jessamine Blazer,peonies-blazers,Peonies · Blazers,1.43,New,New,New,1,no,88,7,0,2026-09-23,https://myacollection.com/products/jessamine-blazer
layered-shell-1,10663945011533,Layered Shell Κολιέ,ss26-sirens-accessories,Sirens · Accessories,1.43,Average,Steady,Established,4,yes,1572,12,1,2026-09-23,https://myacollection.com/products/layered-shell-1
nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.41,Average,Steady,Established,5,no,4575,145,8,2026-09-23,https://myacollection.com/products/nerissa-kimono-pink
eve-copy,10670927511885,Selene Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,1.41,Average,Rising,Established,2,no,5395,42,1,2026-09-23,https://myacollection.com/products/eve-copy
alessa-dress,10833913938253,Alessa Dress,peonies-dress,Peonies · Dresses,1.40,New,New,New,14,no,1567,24,3,2026-09-23,https://myacollection.com/products/alessa-dress
bianca-jumsuit,10834721472845,Bianca Jumsuit,peonies-jumpsuits,Peonies · Jumpsuits,1.40,New,New,New,2,no,955,25,2,2026-09-23,https://myacollection.com/products/bianca-jumsuit
melina,10714445873485,Melina Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.40,Average,Rising,Established,6,yes,5012,132,9,2026-09-23,https://myacollection.com/products/melina
noelle,10786243215693,Noelle Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.40,Average,New,Ramping,12,no,5265,225,5,2026-09-23,https://myacollection.com/products/noelle
paloma-dress,10834069487949,Paloma Dress,peonies-dress,Peonies · Dresses,1.38,New,New,New,15,no,1554,19,3,2026-09-23,https://myacollection.com/products/paloma-dress
thalassa-limited,10657844953421,Thalassa LIMITED Φόρεμα,ss26-sirens,Sirens SS26,1.38,Average,Steady,Established,51,yes,5539,51,1,2026-09-23,https://myacollection.com/products/thalassa-limited
lea-dress,10566090916173,Lea Φόρεμα,ss26-sirens,Sirens SS26,1.37,Average,Steady,Established,53,yes,4199,126,4,2026-09-23,https://myacollection.com/products/lea-dress
soraya,10643352158541,Soraya Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.37,Average,Steady,Established,13,yes,7652,204,11,2026-09-23,https://myacollection.com/products/soraya
calypso-skirt-blue,10559198298445,Calypso Skirt Blue,ss26-sirens-skirts,Sirens · Skirts,1.36,Average,Steady,Established,8,no,3838,144,4,2026-09-23,https://myacollection.com/products/calypso-skirt-blue
ariel-kids,10700554699085,Ariel Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,1.34,Average,Rising,Established,5,yes,411,8,0,2026-09-23,https://myacollection.com/products/ariel-kids
tiffany-dress,10197665218893,Tiffany dress,ss26-sirens-dresses,Sirens · Dresses,1.33,Average,Rising,Established,14,no,7948,178,14,2026-09-23,https://myacollection.com/products/tiffany-dress
coralia-dress,10566166413645,Coralia Φόρεμα,ss26-sirens,Sirens SS26,1.32,Average,Fading,Established,56,yes,5274,132,3,2026-09-23,https://myacollection.com/products/coralia-dress
magnolia-skirt,10566041698637,Magnolia Φούστα,ss26-sirens-skirts,Sirens · Skirts,1.31,Average,Steady,Established,9,no,4244,219,18,2026-09-23,https://myacollection.com/products/magnolia-skirt
norah-kimono,10566086492493,Norah Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.30,Average,Fading,Established,7,yes,5492,0,0,2026-09-23,https://myacollection.com/products/norah-kimono
alessandra-dress,10863687893325,Alessandra Dress,peonies-dress,Peonies · Dresses,1.29,New,New,New,16,no,1326,41,7,2026-09-23,https://myacollection.com/products/alessandra-dress
auralis-kimono,10563066659149,Auralis Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.27,Average,Rising,Established,8,no,4655,32,0,2026-09-23,https://myacollection.com/products/auralis-kimono
lumira,10633956557133,Lumira Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.26,Average,Fading,Established,15,yes,9159,129,8,2026-09-23,https://myacollection.com/products/lumira
nerissa,10703248359757,Nerissa Kids Ροζ Κιμονό,ss26-sirens-kids,Sirens · Kids,1.26,Average,Steady,Established,6,no,1092,6,2,2026-09-23,https://myacollection.com/products/nerissa
amarise-dress,10833918460237,Amarisé Dress,peonies-dress,Peonies · Dresses,1.25,New,New,New,17,no,1123,14,3,2026-09-23,https://myacollection.com/products/amarise-dress
juliet-top,8151987355929,JULIET TOP,archive-sale,Archive Sale,1.24,New,New,New,14,no,22,1,0,2026-09-23,https://myacollection.com/products/juliet-top
rosalie-2,10786210480461,Rosalie Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.24,Average,New,Ramping,16,no,4660,200,9,2026-09-23,https://myacollection.com/products/rosalie-2
glowen-dress,10564884070733,Glowen Φόρεμα,ss26-sirens,Sirens SS26,1.23,Average,Fading,Established,61,yes,4810,46,2,2026-09-23,https://myacollection.com/products/glowen-dress
nyra-jumpsuit,10390639116621,Nyra Jumpsuit,archive-sale,Archive Sale,1.23,Average,Rising,Established,16,yes,1263,10,1,2026-09-23,https://myacollection.com/products/nyra-jumpsuit
selira-dress,10338865250637,Selira Φόρεμα,archive-sale,Archive Sale,1.23,Average,Steady,Established,15,no,1353,6,0,2026-09-23,https://myacollection.com/products/selira-dress
perla-kimono-dress,6552814256227,Perla Kimono Dress,archive-sale,Archive Sale,1.22,New,New,New,17,no,572,5,0,2026-09-23,https://myacollection.com/products/perla-kimono-dress
seraphina-blazer,10833848992077,Seraphina Blazer,peonies-blazers,Peonies · Blazers,1.22,New,New,New,2,no,48,2,0,2026-09-23,https://myacollection.com/products/seraphina-blazer
copy-copy-78,10633971007821,Thalior Φόρεμα,ss26-sirens,Sirens SS26,1.22,Average,Steady,Established,62,yes,5291,77,0,2026-09-23,https://myacollection.com/products/copy-copy-78
noir-dress,10906129269069,Noir Dress,peonies-dress,Peonies · Dresses,1.21,New,New,New,18,no,24,0,0,2026-09-23,https://myacollection.com/products/noir-dress
isebel-dress,10361722929485,Isebel Φόρεμα,archive-sale,Archive Sale,1.20,Average,Rising,Established,18,yes,805,60,7,2026-09-23,https://myacollection.com/products/isebel-dress
lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,1.20,Average,Fading,Established,3,yes,4533,8,1,2026-09-23,https://myacollection.com/products/lilu-jumpsuit
kirki-skirt,10730866344269,Kirki Φούστα,ss26-sirens-skirts,Sirens · Skirts,1.19,Average,New,Ramping,10,yes,3698,192,16,2026-09-23,https://myacollection.com/products/kirki-skirt
ione-1,10657683439949,Ione Φούστα,ss26-sirens-skirts,Sirens · Skirts,1.18,Average,Steady,Established,11,no,4072,106,4,2026-09-23,https://myacollection.com/products/ione-1
sage-bodysuit,8668340683085,Sage Κορμάκι,archive-sale,Archive Sale,1.18,Average,Steady,Established,19,no,608,56,4,2026-09-23,https://myacollection.com/products/sage-bodysuit
seraphina-pants,10831770747213,Seraphina Pants,peonies-pants,Peonies · Pants,1.17,New,New,New,3,no,36,1,0,2026-09-23,https://myacollection.com/products/seraphina-pants
ferina-dress,10338806268237,Ferina Φόρεμα,archive-sale,Archive Sale,1.16,Average,Steady,Established,21,no,1179,10,0,2026-09-23,https://myacollection.com/products/ferina-dress
tiana-top,8585609249101,TIANA TOP,archive-sale,Archive Sale,1.16,New,New,New,20,yes,31,2,1,2026-09-23,https://myacollection.com/products/tiana-top
ariel-siren,10635955667277,Ariel Siren Τουρμπάνι Ροζ,ss26-sirens-accessories,Sirens · Accessories,1.15,Average,Rising,Established,5,no,967,26,3,2026-09-23,https://myacollection.com/products/ariel-siren
